date,region,daily_ed_visits,departments_reporting
16-08-2017,Auvergne et Rhône-Alpes,7506,12
17-08-2017,Auvergne et Rhône-Alpes,6924,12
18-08-2017,Auvergne et Rhône-Alpes,6921,12
19-08-2017,Auvergne et Rhône-Alpes,6977,12
20-08-2017,Auvergne et Rhône-Alpes,6367,12
21-08-2017,Auvergne et Rhône-Alpes,7242,12
22-08-2017,Auvergne et Rhône-Alpes,6618,12
23-08-2017,Auvergne et Rhône-Alpes,6554,12
24-08-2017,Auvergne et Rhône-Alpes,6644,12
25-08-2017,Auvergne et Rhône-Alpes,6737,12
26-08-2017,Auvergne et Rhône-Alpes,6870,12
27-08-2017,Auvergne et Rhône-Alpes,6854,12
28-08-2017,Auvergne et Rhône-Alpes,7334,12
29-08-2017,Auvergne et Rhône-Alpes,6579,12
30-08-2017,Auvergne et Rhône-Alpes,6734,12
31-08-2017,Auvergne et Rhône-Alpes,6374,12
01-09-2017,Auvergne et Rhône-Alpes,6402,12
02-09-2017,Auvergne et Rhône-Alpes,6530,12
03-09-2017,Auvergne et Rhône-Alpes,6364,12
04-09-2017,Auvergne et Rhône-Alpes,6582,12
05-09-2017,Auvergne et Rhône-Alpes,6076,12
06-09-2017,Auvergne et Rhône-Alpes,6187,12
07-09-2017,Auvergne et Rhône-Alpes,6086,12
08-09-2017,Auvergne et Rhône-Alpes,6520,12
09-09-2017,Auvergne et Rhône-Alpes,6470,12
10-09-2017,Auvergne et Rhône-Alpes,6391,12
11-09-2017,Auvergne et Rhône-Alpes,7126,12
12-09-2017,Auvergne et Rhône-Alpes,6472,12
13-09-2017,Auvergne et Rhône-Alpes,6674,12
14-09-2017,Auvergne et Rhône-Alpes,6675,12
15-09-2017,Auvergne et Rhône-Alpes,6859,12
16-09-2017,Auvergne et Rhône-Alpes,6983,12
17-09-2017,Auvergne et Rhône-Alpes,6693,12
18-09-2017,Auvergne et Rhône-Alpes,7554,12
19-09-2017,Auvergne et Rhône-Alpes,6014,12
20-09-2017,Auvergne et Rhône-Alpes,6706,12
21-09-2017,Auvergne et Rhône-Alpes,7028,12
22-09-2017,Auvergne et Rhône-Alpes,7152,12
23-09-2017,Auvergne et Rhône-Alpes,7364,12
24-09-2017,Auvergne et Rhône-Alpes,7124,12
25-09-2017,Auvergne et Rhône-Alpes,8069,12
26-09-2017,Auvergne et Rhône-Alpes,7178,12
27-09-2017,Auvergne et Rhône-Alpes,7240,12
28-09-2017,Auvergne et Rhône-Alpes,7609,12
29-09-2017,Auvergne et Rhône-Alpes,7636,12
30-09-2017,Auvergne et Rhône-Alpes,7320,12
01-10-2017,Auvergne et Rhône-Alpes,7185,12
02-10-2017,Auvergne et Rhône-Alpes,8070,12
03-10-2017,Auvergne et Rhône-Alpes,7219,12
04-10-2017,Auvergne et Rhône-Alpes,6903,12
05-10-2017,Auvergne et Rhône-Alpes,7196,12
06-10-2017,Auvergne et Rhône-Alpes,7289,12
07-10-2017,Auvergne et Rhône-Alpes,7078,12
08-10-2017,Auvergne et Rhône-Alpes,6766,12
09-10-2017,Auvergne et Rhône-Alpes,7771,12
10-10-2017,Auvergne et Rhône-Alpes,6960,12
11-10-2017,Auvergne et Rhône-Alpes,7245,12
12-10-2017,Auvergne et Rhône-Alpes,7529,12
13-10-2017,Auvergne et Rhône-Alpes,7171,12
14-10-2017,Auvergne et Rhône-Alpes,7576,12
15-10-2017,Auvergne et Rhône-Alpes,7576,12
16-10-2017,Auvergne et Rhône-Alpes,8404,12
17-10-2017,Auvergne et Rhône-Alpes,7260,12
18-10-2017,Auvergne et Rhône-Alpes,7185,12
19-10-2017,Auvergne et Rhône-Alpes,7324,12
20-10-2017,Auvergne et Rhône-Alpes,7351,12
21-10-2017,Auvergne et Rhône-Alpes,7456,12
22-10-2017,Auvergne et Rhône-Alpes,6639,12
23-10-2017,Auvergne et Rhône-Alpes,7319,12
24-10-2017,Auvergne et Rhône-Alpes,6494,12
25-10-2017,Auvergne et Rhône-Alpes,6496,12
26-10-2017,Auvergne et Rhône-Alpes,6522,12
27-10-2017,Auvergne et Rhône-Alpes,6419,12
28-10-2017,Auvergne et Rhône-Alpes,6724,12
29-10-2017,Auvergne et Rhône-Alpes,6498,12
30-10-2017,Auvergne et Rhône-Alpes,6882,12
31-10-2017,Auvergne et Rhône-Alpes,6368,12
01-11-2017,Auvergne et Rhône-Alpes,5857,12
02-11-2017,Auvergne et Rhône-Alpes,6908,12
03-11-2017,Auvergne et Rhône-Alpes,6518,12
04-11-2017,Auvergne et Rhône-Alpes,6720,12
05-11-2017,Auvergne et Rhône-Alpes,6022,12
06-11-2017,Auvergne et Rhône-Alpes,6974,12
07-11-2017,Auvergne et Rhône-Alpes,6307,12
08-11-2017,Auvergne et Rhône-Alpes,6256,12
09-11-2017,Auvergne et Rhône-Alpes,6404,12
10-11-2017,Auvergne et Rhône-Alpes,6643,12
11-11-2017,Auvergne et Rhône-Alpes,6761,12
12-11-2017,Auvergne et Rhône-Alpes,6564,12
13-11-2017,Auvergne et Rhône-Alpes,7176,12
14-11-2017,Auvergne et Rhône-Alpes,6348,12
15-11-2017,Auvergne et Rhône-Alpes,6473,12
16-11-2017,Auvergne et Rhône-Alpes,6498,12
17-11-2017,Auvergne et Rhône-Alpes,6669,12
18-11-2017,Auvergne et Rhône-Alpes,6636,12
19-11-2017,Auvergne et Rhône-Alpes,6366,12
20-11-2017,Auvergne et Rhône-Alpes,7334,12
21-11-2017,Auvergne et Rhône-Alpes,6969,12
22-11-2017,Auvergne et Rhône-Alpes,6792,12
23-11-2017,Auvergne et Rhône-Alpes,6965,12
24-11-2017,Auvergne et Rhône-Alpes,7275,12
25-11-2017,Auvergne et Rhône-Alpes,6726,12
26-11-2017,Auvergne et Rhône-Alpes,6736,12
27-11-2017,Auvergne et Rhône-Alpes,7719,12
28-11-2017,Auvergne et Rhône-Alpes,6824,12
29-11-2017,Auvergne et Rhône-Alpes,6701,12
30-11-2017,Auvergne et Rhône-Alpes,6597,12
01-12-2017,Auvergne et Rhône-Alpes,6414,12
02-12-2017,Auvergne et Rhône-Alpes,6413,12
03-12-2017,Auvergne et Rhône-Alpes,6404,12
04-12-2017,Auvergne et Rhône-Alpes,7626,12
05-12-2017,Auvergne et Rhône-Alpes,6825,12
06-12-2017,Auvergne et Rhône-Alpes,6621,12
07-12-2017,Auvergne et Rhône-Alpes,6943,12
08-12-2017,Auvergne et Rhône-Alpes,6977,12
09-12-2017,Auvergne et Rhône-Alpes,6863,12
10-12-2017,Auvergne et Rhône-Alpes,6712,12
11-12-2017,Auvergne et Rhône-Alpes,8062,12
12-12-2017,Auvergne et Rhône-Alpes,6973,12
13-12-2017,Auvergne et Rhône-Alpes,7068,12
14-12-2017,Auvergne et Rhône-Alpes,7373,12
15-12-2017,Auvergne et Rhône-Alpes,7436,12
